handle,domain,eligible_for_bounty
international_airlines_group,https://www.britishairways.com/nx,False
international_airlines_group,*.aerlingus.com,False
international_airlines_group,*.iberiaexpress.com,False
international_airlines_group,*.iaggbs.com,False
international_airlines_group,*.iairgroup.com,False
arkose_labs,customer-sessions.arkoselabs.com,True
arkose_labs,verify.arkoselabs.com,True
arkose_labs,iframe.arkoselabs.com,True
arkose_labs,cdn.arkoselabs.com,True
arkose_labs,demo.arkoselabs.com,True
arkose_labs,client-api.arkoselabs.com,True
arkose_labs,www.arkoselabs.com,True
arkose_labs,portal.arkoselabs.com,True
arkose_labs,client-api.arkoselabs.com,True
arkose_labs,cdn.arkoselabs.com,True
arkose_labs,customer-sessions.arkoselabs.com,True
arkose_labs,portal.arkoselabs.com,True
arkose_labs,verify.arkoselabs.com,True
arkose_labs,iframe.arkoselabs.com,True
arkose_labs,www.arkoselabs.com,True
arkose_labs,demo.arkoselabs.com,True
sheer_bbp,my.sheer.com,True
sheer_bbp,www.sheer.com,True
sheer_bbp,www.sheer.com,True
sheer_bbp,my.sheer.com,True
pornbox,www.pornworld.com,True
pornbox,www.analvids.com,True
pornbox,www.ddfcontent.com,True
pornbox,www.pornbox.com,True
pornbox,www.pornbox.com,True
pornbox,www.analvids.com,True
pornbox,www.ddfcontent.com,True
pornbox,www.pornworld.com,True
fireblocks,sandbox.fireblocks.io,True
fireblocks,sandbox.fireblocks.io,True
fireblocks,http://sb-mobile-api.fireblocks.io,True
fireblocks,http://sb-console-api.fireblocks.io,True
fireblocks,http://sandbox-api.fireblocks.io,True
dynatrace,university-staging.dynatracelabs.com,True
dynatrace,*.sprint.apps.dynatracelabs.com,True
dynatrace,*.sprint.dynatracelabs.com,True
dynatrace,account-sprint.dynatracelabs.com,True
dynatrace,myaccount-hardening.dynatracelabs.com,True
dynatrace,sso-sprint.dynatracelabs.com,True
dynatrace,*.sprint.dynatracelabs.com,True
dynatrace,*.sprint.apps.dynatracelabs.com,True
dynatrace,account-sprint.dynatracelabs.com,True
dynatrace,sso-sprint.dynatracelabs.com,True
dynatrace,university-staging.dynatracelabs.com,True
dynatrace,myaccount-hardening.dynatracelabs.com,True
oaknorth_bank,*.oaknorth-prod.com,False
oaknorth_bank,*.oaknorthbank.co.uk,False
oaknorth_bank,*.oaknorth.us,False
oaknorth_bank,*.oaknorth.com,False
oaknorth_bank,*.oaknorth.co.uk,False
oaknorth_bank,*.oaknorth-it.com,False
oaknorth_bank,*.oaknorth.co.uk,False
oaknorth_bank,*.oaknorth-it.com,False
oaknorth_bank,*.oaknorth-prod.com,False
oaknorth_bank,*.oaknorth.com,False
oaknorth_bank,*.oaknorth.us,False
oaknorth_bank,*.oaknorthbank.co.uk,False
oaknorth_bank,https://api.deposits.oaknorth.co.uk,False
dynamic_labs,demo.dynamic.xyz,True
dynamic_labs,app.dynamic-preprod.xyz,True
dynamic_labs,app.dynamic.xyz,True
dynamic_labs,app.dynamic-preprod.xyz,True
dynamic_labs,app.dynamic.xyz,True
dynamic_labs,demo.dynamic.xyz,True
wellhive,corporate-okta.wellhive.com,False
wellhive,analytics.wellhive.com,False
wellhive,app.wellhive.com,False
wellhive,login.wellhive.com,False
wellhive,analytics.wellhive.com,False
wellhive,app.wellhive.com,False
wellhive,login.wellhive.com,False
wellhive,corporate-okta.wellhive.com,False
hostinger,payments.hostinger.com,True
hostinger,cpanel.hostinger.com,True
hostinger,builder.hostinger.com,True
hostinger,www.hostinger.com,True
hostinger,hpanel.hostinger.com,True
hostinger,www.hostinger.com,True
hostinger,cpanel.hostinger.com,True
hostinger,hpanel.hostinger.com,True
hostinger,payments.hostinger.com,True
hostinger,builder.hostinger.com,True
egress-vdp,switch.vdp-egress.com,False
egress-vdp,reader.vdp-egress.com,False
egress-vdp,www.egress.com,False
egress-vdp,reader.vdp-egress.com,False
egress-vdp,switch.vdp-egress.com,False
egress-vdp,www.egress.com,False
23andme_bbp,store.23andme.com,True
23andme_bbp,auth.23andme.com,True
23andme_bbp,therapeutics.23andme.com,True
23andme_bbp,research.23andme.com,True
23andme_bbp,medical.23andme.com,True
23andme_bbp,mediacenter.23andme.com,True
23andme_bbp,education.23andme.com,True
23andme_bbp,blog.23andme.com,True
23andme_bbp,you.23andme.com,True
23andme_bbp,api.23andme.com,True
23andme_bbp,api.23andme.com,True
23andme_bbp,auth.23andme.com,True
23andme_bbp,blog.23andme.com,True
23andme_bbp,education.23andme.com,True
23andme_bbp,mediacenter.23andme.com,True
23andme_bbp,medical.23andme.com,True
23andme_bbp,store.23andme.com,True
23andme_bbp,therapeutics.23andme.com,True
23andme_bbp,you.23andme.com,True
23andme_bbp,research.23andme.com,True
mercadolibre,www.mercadolibre.com.uy,True
mercadolibre,www.mercadolivre.com.br,True
mercadolibre,api.mercadopago.com,True
mercadolibre,www.mercadopago.com.mx,True
mercadolibre,www.mercadolibre.cl,True
mercadolibre,www.mercadolibre.com.pe,True
mercadolibre,www.mercadolibre.com.co,True
mercadolibre,www.mercadopago.com.ar,True
mercadolibre,www.mercadopago.com.uy,True
mercadolibre,www.mercadolibre.com.ar,True
mercadolibre,api.mercadolibre.com,True
mercadolibre,www.mercadopago.com.br,True
mercadolibre,www.mercadopago.cl,True
mercadolibre,www.mercadopago.com.pe,True
mercadolibre,www.mercadopago.com.co,True
mercadolibre,www.mercadolibre.com.mx,True
mercadolibre,api.mercadopago.com,True
mercadolibre,www.mercadopago.com.ar,True
mercadolibre,www.mercadopago.com.br,True
mercadolibre,www.mercadopago.com.mx,True
mercadolibre,www.mercadopago.com.co,True
mercadolibre,www.mercadopago.com.pe,True
mercadolibre,www.mercadopago.com.uy,True
mercadolibre,api.mercadolibre.com,True
mercadolibre,www.mercadolibre.com.ar,True
mercadolibre,www.mercadolivre.com.br,True
mercadolibre,www.mercadolibre.com.mx,True
mercadolibre,www.mercadolibre.com.co,True
mercadolibre,www.mercadolibre.com.pe,True
mercadolibre,www.mercadolibre.com.uy,True
mercadolibre,www.mercadolibre.cl,True
mercadolibre,www.mercadopago.cl,True
temu,www.temu.com,True
temu,www.temu.com,True
bookingcom,supplier.auth.toag.booking.com,True
bookingcom,metasearch-api.booking.com,True
bookingcom,experiences.booking.com,True
bookingcom,webhooks.booking.com,True
bookingcom,paybridge.booking.com,True
bookingcom,phone-validation.taxi.booking.com,True
bookingcom,indicative-pricing.taxi.booking.com,True
bookingcom,distribution-xml.booking.com,True
bookingcom,paynotifications.booking.com,True
bookingcom,supply-xml.booking.com,True
bookingcom,secure-supply-xml.booking.com,True
bookingcom,tableau.fareharbor.engineering,True
bookingcom,taxis.booking.com,True
bookingcom,autocomplete.booking.com,True
bookingcom,widget.rentalcars.com,True
bookingcom,teleport.fareharbor.engineering,True
bookingcom,readonly.fareharbor.com,True
bookingcom,sites.fareharbor.com,True
bookingcom,careers.booking.com,True
bookingcom,marketing.fareharbor.com,True
bookingcom,*.fareharbor.engineering,True
bookingcom,fareharborsites.com,True
bookingcom,taxi.booking.com,True
bookingcom,spark.fareharbor.com,True
bookingcom,chat.booking.com,True
bookingcom,kyc-onboarding.booking.com,True
bookingcom,cars.booking.com,True
bookingcom,accommodations.booking.com,True
bookingcom,www.fareharbor.com,True
bookingcom,portal.taxi.booking.com,True
bookingcom,*.fareharbor.com,True
bookingcom,*.booking.com,True
bookingcom,*.rentalcars.com,True
bookingcom,*.fareharbor.engineering,True
bookingcom,booking.com,True
bookingcom,secure.booking.com,True
bookingcom,careers.booking.com,True
bookingcom,https://iphone-xml.booking.com/json/,True
bookingcom,https://secure-iphone-xml.booking.com/json/,True
bookingcom,account.booking.com,True
bookingcom,kyc-onboarding.booking.com,True
bookingcom,taxi.booking.com,True
bookingcom,widget.rentalcars.com,True
bookingcom,cars.booking.com,True
bookingcom,supplier.auth.toag.booking.com,True
bookingcom,paymentcomponent.booking.com,True
bookingcom,metasearch-api.booking.com,True
bookingcom,experiences.booking.com,True
bookingcom,webhooks.booking.com,True
bookingcom,taxis.booking.com,True
bookingcom,paybridge.booking.com,True
bookingcom,phone-validation.taxi.booking.com,True
bookingcom,indicative-pricing.taxi.booking.com,True
bookingcom,admin.booking.com,True
bookingcom,chat.booking.com,True
bookingcom,autocomplete.booking.com,True
bookingcom,distribution-xml.booking.com,True
bookingcom,paynotifications.booking.com,True
bookingcom,supply-xml.booking.com,True
bookingcom,accommodations.booking.com,True
bookingcom,portal.taxi.booking.com,True
bookingcom,flights.booking.com,True
bookingcom,secure-supply-xml.booking.com,True
bookingcom,http://secure-iphone-xml.booking.com/json/,True
bookingcom,spark.fareharbor.com,True
bookingcom,www.fareharbor.com,True
bookingcom,teleport.fareharbor.engineering,True
bookingcom,demo.fareharbor.com,True
bookingcom,readonly.fareharbor.com,True
bookingcom,marketing.fareharbor.com,True
bookingcom,sites.fareharbor.com,True
bookingcom,compass.fareharbor.com,True
bookingcom,fhdn.fareharbor.com,True
bookingcom,tableau.fareharbor.engineering,True
bookingcom,fareharborsites.com,True
bybit_fintech,*.bybit.com,True
bybit_fintech,*.bybit.com,True
navient_solutions,myaccount.navirefi.com,False
navient_solutions,www.pamcollections.com,False
navient_solutions,www.msbpay.com,False
navient_solutions,www.msbnexus.com,False
navient_solutions,admin.msbnexus.navient.com,False
navient_solutions,duncan.imageenforcement.com,False
navient_solutions,www.pamcollectionsin.com,False
navient_solutions,sandiegoadmin.dsmyportal.com,False
navient_solutions,www.nystapayment.com,False
navient_solutions,temp.msbpay.com,False
navient_solutions,temp.msbnexus.com,False
navient_solutions,msbpay.com,False
navient_solutions,dsparkingportal.com,False
navient_solutions,www.pampayments.com,False
navient_solutions,wsmb2bresv.navient.com,False
navient_solutions,apply2.navirefi.com,False
navient_solutions,sandiego.dsmyportal.com,False
navient_solutions,www.navirefi.com,False
navient_solutions,payments.msbpay.navient.com,False
navient_solutions,onlineserviceshub.com,False
navient_solutions,myaccount.navirefi.com,False
navient_solutions,dspayments.com/*,False
navient_solutions,www.pamcollections.com,False
navient_solutions,www.pampayments.com,False
navient_solutions,www.msbpay.com,False
navient_solutions,www.msbnexus.com,False
navient_solutions,admin.msbnexus.navient.com,False
navient_solutions,sandiego.dsmyportal.com,False
navient_solutions,msbpay.com,False
navient_solutions,dsparkingportal.com,False
navient_solutions,duncan.imageenforcement.com,False
navient_solutions,www.pamcollectionsin.com,False
navient_solutions,sandiegoadmin.dsmyportal.com,False
navient_solutions,www.nystapayment.com,False
navient_solutions,onlineserviceshub.com,False
navient_solutions,temp.msbpay.com,False
navient_solutions,temp.msbnexus.com,False
navient_solutions,payments.msbpay.navient.com,False
navient_solutions,www.navirefi.com,False
navient_solutions,apply2.navirefi.com,False
navient_solutions,wsmb2bresv.navient.com,False
frontegg,portal.au.frontegg.com,True
frontegg,api.au.frontegg.com,True
frontegg,api.au.frontegg.com,True
frontegg,portal.au.frontegg.com,True
cbre,*.cbrebuild.com,False
cbre,autodiscover.candourgroup.co,False
cbre,email.candourgroup.co,False
cbre,home.candourgroup.co,False
cbre,lyncdiscover.candourgroup.co,False
cbre,news.candourgroup.co,False
cbre,sip.candourgroup.co,False
cbre,www.candourgroup.co,False
cbre,alpha.test.cbreproperties.cz,False
cbre,api.cbreproperties.cz,False
cbre,beta.test.cbreproperties.cz,False
cbre,dev.cbreproperties.cz,False
cbre,images.cbreproperties.cz,False
cbre,sk-alpha.test.cbreproperties.cz,False
cbre,admin.uat.dealstream.cbre.com,False
cbre,gatewaywallboard.cbre.com,False
cbre,staging.api.dataengine.cbre.com,False
cbre,uat-egypt.cbre.com,False
cbre,cpanel.cbredigital.com,False
cbre,mail.cbredigital.com,False
cbre,webdisk.cbredigital.com,False
cbre,webmail.cbredigital.com,False
cbre,fd1.host-building.com,False
cbre,fd2.host-building.com,False
cbre,lan-54-229.usequities.com,False
cbre,lan-54-239.usequities.com,False
cbre,lan-54-249.usequities.com,False
cbre,250cityroadlettings.com,False
cbre,www.250cityroadlettings.com,False
cbre,shop.buildingconsultancy.com,False
cbre,smtp.buildingconsultancy.com,False
cbre,cbrecapitaladvisors.com,False
cbre,www.cbrecapitaladvisors.com,False
cbre,cbredatacenterfinder.com,False
cbre,www.cbredatacenterfinder.com,False
cbre,cbredatacentrefinder.com,False
cbre,www.cbredatacentrefinder.com,False
cbre,cbrelondonresidential.com,False
cbre,www.cbrelondonresidential.com,False
cbre,cbrepeopleapp.com,False
cbre,www.cbrepeopleapp.com,False
cbre,cbreplanning.com,False
cbre,www.cbreplanning.com,False
cbre,cbrichardellis.at,False
cbre,www.cbrichardellis.at,False
cbre,emeagwsapps.com,False
cbre,*.mainstreamsasp.com,False
cbre,*.bovis.es,False
cbre,*.cbreglobalinvestors.com,False
cbre,*.cbregres.com,False
cbre,*.cbreim.com,False
cbre,*.cbreinvestmentmanagement.com,False
cbre,*.cbreinvestors.com,False
cbre,*.cbrevietnam.com,False
cbre,*.coldrivertax.com,False
cbre,*.commercialloanservices.com,False
cbre,*.corporateproperty.com.au,False
cbre,*.e2ctechnology.com,False
cbre,*.eashaw.co.uk,False
cbre,*.eashaw.com,False
cbre,*.envassetsvcs.com,False
cbre,*.facilitysource.com,False
cbre,*.floridavaluation.com,False
cbre,*.forumanalytics.com,False
cbre,*.hanaspaces.com,False
cbre,*.greatleasedeals.com,False
cbre,*.intego.dk,False
cbre,*.norland.sg,False
cbre,*.norlandcafm.co.uk,False
cbre,*.norlandenergy.com,False
cbre,*.norlandgreen.co.uk,False
cbre,*.norlandmanagedservices.com,False
cbre,*.norlandmanagedservices.ie,False
cbre,*.norlandmanagedservices.sg,False
cbre,*.norlandms.co.uk,False
cbre,*.norlandms.com,False
cbre,*.norlandms.ie,False
cbre,*.norlandprojects.co.uk,False
cbre,*.romonet.com,False
cbre,*.sequentra.com,False
cbre,*.siteready.com,False
cbre,*.sitereadyllc.com,False
cbre,*.spacespot.com,False
cbre,*.telfordhomes.london,False
cbre,*.thinkesi.com,False
cbre,*.uniongaming.com,False
cbre,*.usequities.com,False
cbre,*.cbre.*,False
cbre,*.trammellcrow.com,False
cbre,*.cbre-heery.com,False
cbre,*.cbrebuild.com,False
cbre,*.cbreonline.com.mx,False
cbre,*.cbre-ea.com,False
cbre,*.cbreacquisitionholdings.com,False
cbre,*.cbreapps.com,False
cbre,*.cbrecap.com,False
cbre,*.cbreclarion.com,False
cbre,*.cbreemea.com,False
cbre,*.cbrehotels.com,False
cbre,*.cbrekorea.com,False
cbre,*.cbremega.com,False
cbre,*.cbremelody.com,False
cbre,*.cbreresidential.es,False
cbre,*.cbrevaluation.com.vn,False
cbre,*.centermanagement.ch,False
cbre,*.fameco.com,False
cbre,*.famecoretail.com,False
cbre,*.greensoluce.com,False
cbre,*.hanaworkplaces.com,False
cbre,*.pkfc.com,False
cbre,*.axisvalue.com,False
cbre,mainstreamsasp.com,False
cbre,cbre-ea.com,False
cbre,dev.cbre-ea.com,False
cbre,qc.cbre-ea.com,False
cbre,test.cbre-ea.com,False
cbre,uaganon.cbre-ea.com,False
cbre,www.cbre-ea.com,False
cbre,www.test.cbre-ea.com,False
cbre,apps.facilitysource.com,False
cbre,autodiscover.facilitysource.com,False
cbre,blog.facilitysource.com,False
cbre,exchange.facilitysource.com,False
cbre,facilitysource.com,False
cbre,go.facilitysource.com,False
cbre,jobs.facilitysource.com,False
cbre,learning.facilitysource.com,False
cbre,mail.facilitysource.com,False
cbre,media.facilitysource.com,False
cbre,prtg.facilitysource.com,False
cbre,www.exchange.facilitysource.com,False
cbre,www.facilitysource.com,False
cbre,www.mail.facilitysource.com,False
cbre,www.prtg.facilitysource.com,False
cbre,cbrichardellis.com,False
cbre,cookie.cbrichardellis.com,False
cbre,gkc1.cbrichardellis.com,False
cbre,gkc2.cbrichardellis.com,False
cbre,gkc3.cbrichardellis.com,False
cbre,itrack.cbrichardellis.com,False
cbre,itrackii.cbrichardellis.com,False
cbre,japandesk.cbrichardellis.com,False
cbre,library.cbrichardellis.com,False
cbre,mail.cbrichardellis.com,False
cbre,navigator.cbrichardellis.com,False
cbre,piq.cbrichardellis.com,False
cbre,premier.cbrichardellis.com,False
cbre,search.cbrichardellis.com,False
cbre,searchnav.cbrichardellis.com,False
cbre,vol.cbrichardellis.com,False
cbre,vpn.cbrichardellis.com,False
cbre,webmail.cbrichardellis.com,False
cbre,www.cbrichardellis.com,False
cbre,www2.cbrichardellis.com,False
cbre,2fa.cbre.com,False
cbre,aac01.mydevices.cbre.com,False
cbre,activate-ui-blue.vas-plat.cbre.com,False
cbre,activate-ui-green.vas-plat.cbre.com,False
cbre,activate-ui-red.vas-plat.cbre.com,False
cbre,activate-ui-stg-green.vas-plat.cbre.com,False
cbre,activate-ui-stg.vas-plat.cbre.com,False
cbre,activate-ui-uat-green.vas-plat.cbre.com,False
cbre,activate-ui-uat.vas-plat.cbre.com,False
cbre,activate-ui.vas-plat.cbre.com,False
cbre,activesync.cbre.com,False
cbre,ad.experience.cbre.com,False
cbre,admin-blueprint.cbre.com,False
cbre,adobecloudlm.cbre.com,False
cbre,ae-tm.nonprod.cbre.com,False
cbre,ae-uat.nonprod.cbre.com,False
cbre,agent.cbre.com,False
cbre,agile.cbre.com,False
cbre,agribusiness.cbre.com,False
cbre,aloha-api-docs-dev.cbre.com,False
cbre,aloha-api-docs-qa.cbre.com,False
cbre,aloha-api-docs-stage.cbre.com,False
cbre,aloha-api-docs.cbre.com,False
cbre,aloha-api.cbre.com,False
cbre,aloha-api.dev.cbre.com,False
cbre,aloha-api.qa.cbre.com,False
cbre,aloha-assets.cbre.com,False
cbre,aloha-assets.nonprod.cbre.com,False
cbre,amex.locator.cbre.com,False
cbre,amlapi.cbre.com,False
cbre,analytics.cbre.com,False
cbre,angulardemo.emerald.cbre.com,False
cbre,annualreport.cbre.com,False
cbre,answers.chatbot.cbre.com,False
cbre,apacbi.cbre.com,False
cbre,apacgenetec.cbre.com,False
cbre,apacmysupplier.cbre.com,False
cbre,apacresearch-tm.nonprod.cbre.com,False
cbre,apacresearch.cbre.com,False
cbre,apbrazil-api-dev.cbre.com,False
cbre,apbrazil-api-qa.cbre.com,False
cbre,apbrazil-api-uat.cbre.com,False
cbre,apbrazil-api.cbre.com,False
cbre,apbrazil-dev.cbre.com,False
cbre,apbrazil-nonprod.cbre.com,False
cbre,apbrazil-qa.cbre.com,False
cbre,apbrazil-uat.cbre.com,False
cbre,apbrazil.cbre.com,False
cbre,api-agile.cbre.com,False
cbre,api-dev.cbre.com,False
cbre,api-dev.smartfm.cbre.com,False
cbre,api-prod.experience.cbre.com,False
cbre,api-qa.smartfm.cbre.com,False
cbre,api-sb.experience.cbre.com,False
cbre,api-test.cbre.com,False
cbre,api-tgm-dr.green.cbre.com,False
cbre,api-tgm-uat.green.cbre.com,False
cbre,api-tgm.green.cbre.com,False
cbre,api-uat.cbre.com,False
cbre,api-uat.smartfm.cbre.com,False
cbre,api-ukplatform.cbre.com,False
cbre,api.aggregate.cbre.com,False
cbre,api.autobuild.cbre.com,False
cbre,api.avm.cbre.com,False
cbre,api.benchmarker.cbre.com,False
cbre,api.bluesky.cbre.com,False
cbre,api.brokerhub.cbre.com,False
cbre,api.builder.cbre.com,False
cbre,api.cbre.com,False
cbre,api.dealiq.cbre.com,False
cbre,api.dev.forecaster.research.cbre.com,False
cbre,api.dev.locator.research.cbre.com,False
cbre,api.dev.performanceiq.cbre.com,False
cbre,api.devx.cbre.com,False
cbre,api.ea.login.cbre.com,False
cbre,api.experience.cbre.com,False
cbre,api.forecaster.cbre.com,False
cbre,api.forecaster.research.cbre.com,False
cbre,api.gsi.cbre.com,False
cbre,api.locator.cbre.com,False
cbre,api.locator.research.cbre.com,False
cbre,api.merge.locator.research.cbre.com,False
cbre,api.miq.cbre.com,False
cbre,api.myproperty.cbre.com,False
cbre,api.officeready.cbre.com,False
cbre,api.performanceiq.cbre.com,False
cbre,api.permissionsmanagement.cbre.com,False
cbre,api.pjm.cbre.com,False
cbre,api.pjmtech.cbre.com,False
cbre,api.qa.performanceiq.cbre.com,False
cbre,api.select.cbre.com,False
cbre,api.smartfm.cbre.com,False
cbre,api.staging.dealiq.cbre.com,False
cbre,api.staging.forecaster.research.cbre.com,False
cbre,api.staging.locator.research.cbre.com,False
cbre,api.test.forecaster.research.cbre.com,False
cbre,api.test.locator.research.cbre.com,False
cbre,apiapac-test.cbre.com,False
cbre,apiapac.cbre.com,False
cbre,apiausy-test.cbre.com,False
cbre,api.fmpilot2.com,False
cbre,autodiscover.fmpilot2.com,False
cbre,azqa-api.fmpilot2.com,False
cbre,azqa-dat.fmpilot2.com,False
cbre,azqa-int.fmpilot2.com,False
cbre,azqa-reporting.fmpilot2.com,False
cbre,azqa-sso.fmpilot2.com,False
cbre,azqa-ssoadmin.fmpilot2.com,False
cbre,azqa-ww2.fmpilot2.com,False
cbre,azqa.fmpilot2.com,False
cbre,azstaging-api-gateway.fmpilot2.com,False
cbre,azstaging-api.fmpilot2.com,False
cbre,azstaging-dat.fmpilot2.com,False
cbre,azstaging-int.fmpilot2.com,False
cbre,azstaging-reporting.fmpilot2.com,False
cbre,azstaging-sso.fmpilot2.com,False
cbre,azstaging-ssoadmin.fmpilot2.com,False
cbre,azstaging-thddat.fmpilot2.com,False
cbre,azstaging-ww2.fmpilot2.com,False
cbre,azstaging.fmpilot2.com,False
cbre,cpr.fmpilot2.com,False
cbre,dat.fmpilot2.com,False
cbre,demo-api.fmpilot2.com,False
cbre,demo.fmpilot2.com,False
cbre,dev-api.fmpilot2.com,False
cbre,dev-dat.fmpilot2.com,False
cbre,dev-int.fmpilot2.com,False
cbre,dev-reporting.fmpilot2.com,False
cbre,dev-serviceapi.fmpilot2.com,False
cbre,dev-sso.fmpilot2.com,False
cbre,dev-ssoadmin.fmpilot2.com,False
cbre,dev-ww2.fmpilot2.com,False
cbre,dev.fmpilot2.com,False
cbre,dynamicdispatch.fmpilot2.com,False
cbre,fmpilot2.com,False
cbre,ftp.fmpilot2.com,False
cbre,ifm-staging.fmpilot2.com,False
cbre,ifm.fmpilot2.com,False
cbre,integration.fmpilot2.com,False
cbre,iwp.fmpilot2.com,False
cbre,jenkins.fmpilot2.com,False
cbre,m-api.fmpilot2.com,False
cbre,o1.ptr7391.fmpilot2.com,False
cbre,perfomance.fmpilot2.com,False
cbre,preprod.fmpilot2.com,False
cbre,qa.fmpilot2.com,False
cbre,regression-api.fmpilot2.com,False
cbre,regression-dat.fmpilot2.com,False
cbre,regression-int.fmpilot2.com,False
cbre,regression-reporting.fmpilot2.com,False
cbre,regression-sso.fmpilot2.com,False
cbre,regression-ssoadmin.fmpilot2.com,False
cbre,regression-ww2.fmpilot2.com,False
cbre,regression.fmpilot2.com,False
cbre,reporting.fmpilot2.com,False
cbre,serviceapi.fmpilot2.com,False
cbre,smtp.fmpilot2.com,False
cbre,sql2019-api.fmpilot2.com,False
cbre,sql2019-dat.fmpilot2.com,False
cbre,sql2019-integration.fmpilot2.com,False
cbre,sql2019-ww2.fmpilot2.com,False
cbre,sql2019.fmpilot2.com,False
cbre,staging-api.fmpilot2.com,False
cbre,staging.fmpilot2.com,False
cbre,tableau.fmpilot2.com,False
cbre,temp-api.fmpilot2.com,False
cbre,temp-integration.fmpilot2.com,False
cbre,temp.fmpilot2.com,False
cbre,test.fmpilot2.com,False
cbre,testing.fmpilot2.com,False
cbre,thd-azstaging.fmpilot2.com,False
cbre,thd.fmpilot2.com,False
cbre,training.fmpilot2.com,False
cbre,ww2.fmpilot2.com,False
cbre,www.fmpilot2.com,False
cbre,www.iwp.fmpilot2.com,False
cbre,www.staging.fmpilot2.com,False
cbre,apiaz-dev.cbre.com,False
cbre,apiaz-test.cbre.com,False
cbre,apiaz.cbre.com,False
cbre,apiazapac-test.cbre.com,False
cbre,apiazapac.cbre.com,False
cbre,apiazemea-test.cbre.com,False
cbre,apiazemea.cbre.com,False
cbre,apiemea-test.cbre.com,False
cbre,apikey-test.cbre.com,False
cbre,apikey-uat.cbre.com,False
cbre,apikey.cbre.com,False
cbre,apimanager-uat.cbre.com,False
cbre,appdproxytest.cbre.com,False
cbre,apps.thelobby.cbre.com,False
cbre,apps.uat.thelobby.cbre.com,False
cbre,appstore.cbre.com,False
cbre,apuacmysupplier.cbre.com,False
cbre,ar-tm.nonprod.cbre.com,False
cbre,ar-uat.nonprod.cbre.com,False
cbre,archive.cbre.com,False
cbre,argentina.preview.cbre.com,False
cbre,argusweb.cbre.com,False
cbre,arguswebgi-test.cbre.com,False
cbre,arguswebgi.cbre.com,False
cbre,artifactory-dr.gcsonp.cbre.com,False
cbre,artifactory-new.gcso.cbre.com,False
cbre,artifactory-new.gcsonp.cbre.com,False
cbre,artifactory-staging.gcso.cbre.com,False
cbre,artifactory-staging.gcsonp.cbre.com,False
cbre,artifactory.gcso.cbre.com,False
cbre,artifactory.gcsonp.cbre.com,False
cbre,artifactory.pnonprod.gcso.cbre.com,False
cbre,as.myim.cbre.com,False
cbre,asianavigator.cbre.com,False
cbre,assetintel-qa.cbre.com,False
cbre,assetintel-uat.cbre.com,False
cbre,assetintel.cbre.com,False
cbre,assetiq.cbre.com,False
cbre,assetiqdev.cbre.com,False
cbre,assetiqpes.cbre.com,False
cbre,assetiqrec.cbre.com,False
cbre,assetiqtest.cbre.com,False
cbre,assetiquat.cbre.com,False
cbre,assetview.cbre.com,False
cbre,at-tm.nonprod.cbre.com,False
cbre,at-uat.nonprod.cbre.com,False
cbre,ataccama-dev.cbre.com,False
cbre,ataccama-dev2.cbre.com,False
cbre,ataccama-nonprod.cbre.com,False
cbre,ataccama-qa.cbre.com,False
cbre,ataccama-staging.cbre.com,False
cbre,ataccama-test.cbre.com,False
cbre,ataccama-uat.cbre.com,False
cbre,ataccama.cbre.com,False
cbre,atcouchdb-east.cbre.com,False
cbre,atcouchdb-west.cbre.com,False
cbre,atcouchdb.cbre.com,False
cbre,atcouchdbdev.cbre.com,False
cbre,atcouchdbdr.cbre.com,False
cbre,atcouchdbdrstaging.cbre.com,False
cbre,atcouchdbstaging-east.cbre.com,False
cbre,atcouchdbstaging-west.cbre.com,False
cbre,atcouchdbstaging.cbre.com,False
cbre,atcouchdbtest.cbre.com,False
cbre,aternity.cbre.com,False
cbre,au-uat.nonprod.cbre.com,False
cbre,authnavigator.cbre.com,False
cbre,authoring.cbre.com,False
cbre,autodiscover.cbre.com,False
cbre,ava-dev.cbre.com,False
cbre,ava-dr.cbre.com,False
cbre,ava-uat.cbre.com,False
cbre,ava.cbre.com,False
cbre,avaapi-dev.cbre.com,False
cbre,avaapi-dr.cbre.com,False
cbre,avaapi-uat.cbre.com,False
cbre,avaapi.cbre.com,False
cbre,avacs-dev.cbre.com,False
cbre,avacs-dr.cbre.com,False
cbre,avacs-uat.cbre.com,False
cbre,avacs.cbre.com,False
cbre,avm.cbre.com,False
cbre,axiscp-test.cbre.com,False
cbre,az.experience.cbre.com,False
cbre,b2c.experience.cbre.com,False
cbre,bam.cbre.com,False
cbre,bamdev.cbre.com,False
cbre,bamdevmapexportapi.cbre.com,False
cbre,bamdevmaplogoapi.cbre.com,False
cbre,bamdevmapstoreapi.cbre.com,False
cbre,bamdevmapuserapi.cbre.com,False
cbre,bammapexportapi.cbre.com,False
cbre,bammaplogoapi.cbre.com,False
cbre,bammapstoreapi.cbre.com,False
cbre,bammapuserapi.cbre.com,False
cbre,bampilot.cbre.com,False
cbre,bampilotmapexportapi.cbre.com,False
cbre,bampilotmaplogoapi.cbre.com,False
cbre,bampilotmapstoreapi.cbre.com,False
cbre,bampilotmapuserapi.cbre.com,False
cbre,bamstaging.cbre.com,False
cbre,bamstagingmapexportapi.cbre.com,False
cbre,bamstagingmapstoreapi.cbre.com,False
cbre,bamstagingmapuserapi.cbre.com,False
cbre,bamuat.cbre.com,False
cbre,bamuatmapexportapi.cbre.com,False
